country,gdp
Afghanistan,17876
Albania,15278
Algeria,171157
American Samoa (United States),844
Andorra,3154
Angola,85000
Anguilla (United Kingdom),379
Antigua and Barbuda,1661
Argentina,449663
Armenia,13672
Aruba (Netherlands),3293
Australia[g],1380207
Austria,445075
Azerbaijan[k],48047
Bahamas,13578
Bahrain,38574
Bangladesh,301051
Barbados,5209
Belarus,63080
Belgium,533097
Belize,1906
Benin,14403
Bermuda (United Kingdom),7361
Bhutan,2564
Bolivia,40895
Bosnia and Herzegovina,20164
Botswana,18340
Brazil,1847795
British Virgin Islands (United Kingdom),1296
Brunei,13469
Bulgaria,67925
Burkina Faso,15990
Burundi,3002
Cambodia,27097
Cameroon,38861
Canada,1741496
Cape Verde,1981
Cayman Islands (United Kingdom),6020
Central African Republic,2220
Chad,11271
Chile,282318
China[a],14342933
Colombia,323802
Comoros,1165
Congo,12397
Cook Islands (New Zealand),379
Costa Rica,61773
Croatia,60415
Cuba,105354
Curaçao (Netherlands),3101
Cyprus[t],24565
Czech Republic,250680
Denmark,350104
Djibouti,3166
Dominica,582
Dominican Republic,88941
DR Congo,47319
East Timor,2017
Ecuador,107435
Egypt,317359
El Salvador,27022
Equatorial Guinea,11024
Eritrea,1981
Estonia,31471
Eswatini,4594
Ethiopia,92750
F.S. Micronesia,414
Fiji,5504
Finland[n],269296
France[b],2715518
French Polynesia (France),6023
Gabon,16887
Gambia,1822
Georgia[r],17742
Germany,3861123
Ghana,66999
Greece,205326
Greenland (Denmark),3023
Grenada,1211
Guatemala,76710
Guinea,12354
Guinea-Bissau,1322
Guyana,5173
Haiti,8051
Honduras,25095
Hong Kong (China)[m],365710
Hungary,163469
Iceland,24188
India,2891582
Indonesia,1119190
Iran,603779
Iraq,225232
Ireland,398590
Israel,395098
Italy,2003576
Ivory Coast,58539
Jamaica,15830
Japan,5082465
Jordan,44502
Kazakhstan,181667
Kenya,95501
Kiribati,194
Kuwait,134623
Kyrgyzstan,8454
Laos,18822
Latvia,34102
Lebanon,56409
Lesotho,2460
Liberia,2582
Libya,32600
Liechtenstein,6797
Lithuania,54627
Luxembourg,71104
Macau (China)[u],53859
Madagascar,14104
Malawi,8099
Malaysia[f],364684
Maldives,5642
Mali,17432
Malta,14863
Marshall Islands,237
Mauritania,7593
Mauritius[s],14180
Mexico,1256440
Moldova[q],11955
Monaco,7423
Mongolia,13852
Montenegro,5542
Montserrat (United Kingdom),67
Morocco,119700
Mozambique,15296
Myanmar,76784
Namibia,12366
Nauru,132
Nepal,30714
Netherlands[i],907050
New Caledonia (France),9879
New Zealand,206936
Nicaragua,12520
Niger,12927
Nigeria,474516
North Korea,16331
North Macedonia,12694
Norway[o],403336
Oman,76331
Pakistan,256996
Palau,280
Palestine[p],17058
Panama,66787
Papua New Guinea,24969
Paraguay,38086
Peru,226850
Philippines,359354
Poland,595862
Portugal[j],238785
Puerto Rico (United States),104988
Qatar,183466
Romania,250075
Russia,1692930
Rwanda,10355
São Tomé and Príncipe,421
Saint Kitts and Nevis,1050
Saint Lucia,2122
Saint Pierre and Miquelon (France),825
San Marino,1602
Saudi Arabia,792966
Senegal,23664
Serbia[l],59427
Seychelles,1698
Sierra Leone,4121
Singapore,372073
Sint Maarten (Netherlands),1009
Slovakia,105079
Slovenia,54174
Solomon Islands,1302
Somalia,1626
South Africa,351430
South Korea,1646539
South Sudan,4959
Spain[d],1393490
Sri Lanka,84008
Sudan,34895
Suriname,3697
Sweden,530883
Switzerland,731425
Syria,20379
Tajikistan,8333
Tanzania[c],62941
Thailand,542016
Togo,7270
Tonga,508
Trinidad and Tobago,23208
Tunisia,38797
Turkey,761425
Turkmenistan,48276
Turks and Caicos Islands (United Kingdom),1197
Tuvalu,47
Uganda,32609
Ukraine[e],153781
United Arab Emirates,421142
United Kingdom,2826441
United States,21433226
Uruguay,56045
Uzbekistan,57921
Vanuatu,906
Venezuela,134960
Vietnam,261921
Yemen,24935
Zambia,23085
Zimbabwe,21440
